Name,Project_Id__c,Cluster__c,Status__c,Price__c,Bedrooms__c,Area_Sqm__c
zoya-marina-apartments-002,zoya,Marina Apartments,Available,8025000,2,110
zoya-marina-apartments-003,zoya,Marina Apartments,Available,8550000,2,110
zoya-marina-apartments-004,zoya,Marina Apartments,Available,7950000,2,110
zoya-marina-apartments-005,zoya,Marina Apartments,Available,8475000,2,110
zoya-marina-apartments-006,zoya,Marina Apartments,Available,7875000,2,110
zoya-marina-apartments-007,zoya,Marina Apartments,Available,8400000,2,110
zoya-marina-apartments-008,zoya,Marina Apartments,Available,7800000,2,110
zoya-marina-apartments-009,zoya,Marina Apartments,Available,8325000,2,110
zoya-marina-apartments-010,zoya,Marina Apartments,Available,7725000,2,110
zoya-marina-apartments-011,zoya,Marina Apartments,Available,8250000,2,110
zoya-marina-apartments-012,zoya,Marina Apartments,Available,7650000,2,110
zoya-marina-apartments-013,zoya,Marina Apartments,Available,8175000,2,110
zoya-marina-apartments-014,zoya,Marina Apartments,Available,7575000,2,110
zoya-marina-apartments-015,zoya,Marina Apartments,Available,8100000,2,110
zoya-marina-apartments-016,zoya,Marina Apartments,Available,7500000,2,110
zoya-marina-apartments-017,zoya,Marina Apartments,Available,8025000,2,110
zoya-marina-apartments-018,zoya,Marina Apartments,Available,8550000,2,110
zoya-marina-apartments-019,zoya,Marina Apartments,Available,7950000,2,110
zoya-marina-apartments-020,zoya,Marina Apartments,Available,8475000,2,110
zoya-marina-apartments-021,zoya,Marina Apartments,Available,7875000,2,110
zoya-marina-apartments-022,zoya,Marina Apartments,Available,8400000,2,110
zoya-marina-apartments-023,zoya,Marina Apartments,Available,7800000,2,110
zoya-marina-apartments-024,zoya,Marina Apartments,Available,8325000,2,110
zoya-marina-apartments-025,zoya,Marina Apartments,Available,7725000,2,110
zoya-marina-apartments-026,zoya,Marina Apartments,Available,8250000,2,110
zoya-marina-apartments-027,zoya,Marina Apartments,Available,7650000,2,110
zoya-marina-apartments-028,zoya,Marina Apartments,Available,8175000,2,110
zoya-marina-apartments-029,zoya,Marina Apartments,Available,7575000,2,110
zoya-marina-apartments-030,zoya,Marina Apartments,Available,8100000,2,110
zoya-marina-apartments-031,zoya,Marina Apartments,Available,7500000,2,110
zoya-marina-apartments-032,zoya,Marina Apartments,Available,8025000,2,110
zoya-marina-apartments-033,zoya,Marina Apartments,Available,8550000,2,110
zoya-marina-apartments-034,zoya,Marina Apartments,Available,7950000,2,110
zoya-marina-apartments-035,zoya,Marina Apartments,Available,8475000,2,110
zoya-marina-apartments-036,zoya,Marina Apartments,Available,7875000,2,110
zoya-marina-apartments-037,zoya,Marina Apartments,Available,8400000,2,110
zoya-marina-apartments-038,zoya,Marina Apartments,Available,7800000,2,110
zoya-marina-apartments-039,zoya,Marina Apartments,Available,8325000,2,110
zoya-marina-apartments-040,zoya,Marina Apartments,Reserved,7725000,2,110
zoya-marina-apartments-041,zoya,Marina Apartments,Reserved,8250000,2,110
zoya-marina-apartments-042,zoya,Marina Apartments,Reserved,7650000,2,110
zoya-marina-apartments-043,zoya,Marina Apartments,Reserved,8175000,2,110
zoya-marina-apartments-044,zoya,Marina Apartments,Reserved,7575000,2,110
zoya-marina-apartments-045,zoya,Marina Apartments,Reserved,8100000,2,110
zoya-marina-apartments-046,zoya,Marina Apartments,Reserved,7500000,2,110
zoya-marina-apartments-047,zoya,Marina Apartments,Reserved,8025000,2,110
zoya-marina-apartments-048,zoya,Marina Apartments,Reserved,8550000,2,110
zoya-marina-apartments-049,zoya,Marina Apartments,Sold,7950000,2,110
zoya-marina-apartments-050,zoya,Marina Apartments,Sold,8475000,2,110
zoya-marina-apartments-051,zoya,Marina Apartments,Sold,7875000,2,110
zoya-marina-apartments-052,zoya,Marina Apartments,Sold,8400000,2,110
zoya-marina-apartments-053,zoya,Marina Apartments,Sold,7800000,2,110
zoya-marina-apartments-054,zoya,Marina Apartments,Sold,8325000,2,110
zoya-marina-apartments-055,zoya,Marina Apartments,Sold,7725000,2,110
zoya-marina-apartments-056,zoya,Marina Apartments,Sold,8250000,2,110
zoya-marina-apartments-057,zoya,Marina Apartments,Sold,7650000,2,110
zoya-marina-apartments-058,zoya,Marina Apartments,Sold,8175000,2,110
zoya-marina-apartments-059,zoya,Marina Apartments,Sold,7575000,2,110
zoya-marina-apartments-060,zoya,Marina Apartments,Sold,8100000,2,110
zoya-golf-chalets-001,zoya,Golf Chalets,Available,22000000,4,260
zoya-golf-chalets-002,zoya,Golf Chalets,Available,23540000,4,260
zoya-golf-chalets-003,zoya,Golf Chalets,Available,25080000,4,260
zoya-golf-chalets-004,zoya,Golf Chalets,Available,23320000,4,260
zoya-golf-chalets-005,zoya,Golf Chalets,Available,24860000,4,260
zoya-golf-chalets-006,zoya,Golf Chalets,Available,23100000,4,260
zoya-golf-chalets-007,zoya,Golf Chalets,Available,24640000,4,260
zoya-golf-chalets-008,zoya,Golf Chalets,Available,22880000,4,260
zoya-golf-chalets-009,zoya,Golf Chalets,Available,24420000,4,260
zoya-golf-chalets-010,zoya,Golf Chalets,Available,22660000,4,260
zoya-golf-chalets-011,zoya,Golf Chalets,Available,24200000,4,260
zoya-golf-chalets-012,zoya,Golf Chalets,Available,22440000,4,260
zoya-golf-chalets-013,zoya,Golf Chalets,Available,23980000,4,260
zoya-golf-chalets-014,zoya,Golf Chalets,Reserved,22220000,4,260
zoya-golf-chalets-015,zoya,Golf Chalets,Reserved,23760000,4,260
zoya-golf-chalets-016,zoya,Golf Chalets,Reserved,22000000,4,260
zoya-golf-chalets-017,zoya,Golf Chalets,Reserved,23540000,4,260
zoya-golf-chalets-018,zoya,Golf Chalets,Reserved,25080000,4,260
zoya-golf-chalets-019,zoya,Golf Chalets,Reserved,23320000,4,260
zoya-golf-chalets-020,zoya,Golf Chalets,Reserved,24860000,4,260
zoya-golf-chalets-021,zoya,Golf Chalets,Reserved,23100000,4,260
zoya-golf-chalets-022,zoya,Golf Chalets,Sold,24640000,4,260
zoya-golf-chalets-023,zoya,Golf Chalets,Sold,22880000,4,260
zoya-golf-chalets-024,zoya,Golf Chalets,Sold,24420000,4,260
zoya-golf-chalets-025,zoya,Golf Chalets,Sold,22660000,4,260
zoya-golf-chalets-026,zoya,Golf Chalets,Sold,24200000,4,260
zoya-golf-chalets-027,zoya,Golf Chalets,Sold,22440000,4,260
zoya-golf-chalets-028,zoya,Golf Chalets,Sold,23980000,4,260
zoya-golf-chalets-029,zoya,Golf Chalets,Sold,22220000,4,260
zoya-golf-chalets-030,zoya,Golf Chalets,Sold,23760000,4,260
zoya-golf-chalets-031,zoya,Golf Chalets,Sold,22000000,4,260
zoya-golf-chalets-032,zoya,Golf Chalets,Sold,23540000,4,260
